// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//
//  posX    posY    platType
    800     350     0
    1100    300     1
    1530    250     1
    1530    350     1
    1950    300     0
    2190    250     0
    2450    200     0
    2700    300     0
    3030    250     1
    3390    200     0
    3648    300     0
    3970    250     1
    4320    200     0
    4682    150     1
    5090    300     0
    5310    250     0
    5650    200     1
    5999    150     0
    6220    100     0
    6510    50      1
    
    
